"Date","Price","Open","High","Low","Vol.","Change %"
"01/25/2024","2.2644","2.2300","2.2645","2.2300","0.36K","2.48%"
"01/24/2024","2.2095","2.2012","2.2294","2.2012","0.46K","-0.03%"
"01/23/2024","2.2101","2.2335","2.2422","2.1823","0.60K","-1.24%"
"01/22/2024","2.2378","2.1584","2.2410","2.1584","0.70K","3.33%"
"01/21/2024","2.1656","2.1654","2.1685","2.1626","","0.13%"
"01/19/2024","2.1628","2.1792","2.1951","2.1575","1.60K","-0.95%"
"01/18/2024","2.1835","2.1406","2.1845","2.1146","1.99K","2.25%"
"01/17/2024","2.1354","2.1109","2.1413","2.0766","5.50K","0.64%"
"01/16/2024","2.1219","2.1224","2.1891","2.1047","5.66K","-0.37%"
"01/15/2024","2.1298","2.1234","2.1341","2.0980","1.15K","0.62%"
"01/14/2024","2.1166","2.1057","2.1177","2.1057","","-0.17%"
"01/12/2024","2.1203","2.1538","2.1915","2.1177","11.00K","0.28%"
"01/11/2024","2.1143","2.0744","2.1383","2.0744","16.21K","2.27%"
"01/10/2024","2.0673","2.0836","2.1330","2.0577","10.71K","-0.46%"
"01/09/2024","2.0768","2.0430","2.0923","2.0276","10.82K","2.42%"
"01/08/2024","2.0278","2.0800","2.0831","2.0096","15.02K","-3.68%"
"01/07/2024","2.1053","2.1055","2.1133","2.1048","","-0.01%"
"01/05/2024","2.1055","2.1194","2.1399","2.1014","13.59K","-0.22%"
"01/04/2024","2.1101","2.1627","2.1697","2.0868","11.50K","-2.22%"
"01/03/2024","2.1581","2.1003","2.1676","2.0732","9.60K","3.02%"
"01/02/2024","2.0949","2.1388","2.1701","2.0805","13.31K","-1.50%"
"01/01/2024","2.1269","2.1349","2.1349","2.1227","","0.98%"
"12/29/2023","2.1063","2.1114","2.1404","2.0997","9.56K","1.01%"
"12/28/2023","2.0852","2.1571","2.1703","2.0975","0.36K","-3.24%"
"12/27/2023","2.1550","2.1621","2.1871","2.1524","1.57K","-0.15%"
"12/26/2023","2.1583","2.1321","2.1691","2.1321","0.14K","1.12%"
"12/25/2023","2.1343","2.1276","2.1350","2.1272","","0.20%"
"12/22/2023","2.1301","2.1708","2.1951","2.1298","1.37K","-1.32%"
"12/21/2023","2.1585","2.1720","2.1720","2.1406","0.75K","-1.92%"
"12/20/2023","2.2007","2.1962","2.2124","2.1794","0.90K","0.00%"
"12/19/2023","2.2008","2.1691","2.2066","2.1449","1.20K","1.94%"
