Date,Price,Open,High,Low,Vol.,Change %
12/22/2022,2.2597,2.2881,2.2963,2.2339,4.15K,-0.22%
12/21/2022,2.2647,2.2318,2.2815,2.2225,7.44K,1.47%
12/20/2022,2.232,2.1933,2.2408,2.176,5.04K,1.89%
12/19/2022,2.1906,2.1554,2.2067,2.1464,7.75K,1.83%
12/18/2022,2.1513,2.1395,2.1524,2.1385,,0.25%
12/16/2022,2.1459,2.1906,2.1934,2.1186,6.17K,-1.56%
12/15/2022,2.18,2.2509,2.2553,2.1778,5.16K,-3.27%
12/14/2022,2.2536,2.1728,2.2616,2.1696,6.23K,3.57%
12/13/2022,2.176,2.1122,2.1878,2.104,7.73K,3.86%
12/12/2022,2.0952,2.0607,2.1069,2.0344,8.87K,1.76%
12/11/2022,2.0589,2.061,2.0701,2.0564,,-0.40%
12/9/2022,2.0672,2.0753,2.0898,2.0468,7.01K,0.29%
12/8/2022,2.0612,2.0963,2.1394,2.0547,8.95K,-1.31%
12/7/2022,2.0886,2.1696,2.1787,2.0845,9.19K,-3.33%
12/6/2022,2.1606,2.2414,2.2414,2.1424,9.77K,-2.33%
12/5/2022,2.2122,2.3285,2.3484,2.2075,7.56K,-4.43%
12/4/2022,2.3147,2.2915,2.3213,2.2892,,1.21%
12/2/2022,2.2871,2.3305,2.3562,2.2751,5.98K,-2.34%
12/1/2022,2.3419,2.3769,2.4151,2.3358,25.14K,-1.70%
11/30/2022,2.3825,2.2902,2.3871,2.2902,23.13K,4.08%
11/29/2022,2.2892,2.232,2.3332,2.2204,23.91K,0.89%
11/28/2022,2.269,2.2937,2.3031,2.218,22.08K,-0.39%
11/27/2022,2.2779,2.2808,2.2855,2.2664,,0.37%
11/25/2022,2.2695,2.3685,2.3895,2.2605,21.29K,-7.35%
11/24/2022,2.4495,2.4678,2.4678,2.4495,0.01K,3.18%
11/23/2022,2.3741,2.4183,2.4298,2.3065,21.57K,-1.83%
11/22/2022,2.4184,2.361,2.4484,2.3576,25.39K,2.82%
11/21/2022,2.352,2.3433,2.373,2.2439,22.49K,-2.88%
11/20/2022,2.4218,2.4276,2.4292,2.4206,,3.60%
11/18/2022,2.3377,2.3851,2.3983,2.2857,17.27K,-1.83%
11/17/2022,2.3812,2.4496,2.4498,2.3728,18.78K,-2.70%
11/16/2022,2.4472,2.4661,2.4886,2.4021,20.12K,-0.73%
11/15/2022,2.4652,2.47,2.5205,2.4294,17.50K,0.31%
11/14/2022,2.4577,2.5491,2.5783,2.4501,12.35K,-7.26%
11/13/2022,2.65,2.6279,2.6556,2.6254,,4.31%
11/11/2022,2.5404,2.4829,2.5585,2.4828,14.85K,1.95%
11/10/2022,2.4919,2.4796,2.5082,2.4445,15.21K,1.40%
11/9/2022,2.4575,2.5448,2.5469,2.4539,20.56K,-3.16%
11/8/2022,2.5378,2.5948,2.6052,2.52,32.37K,-1.67%
11/7/2022,2.581,2.6154,2.6352,2.5759,12.83K,-4.63%
11/6/2022,2.7062,2.7088,2.7152,2.7054,,3.00%
11/4/2022,2.6273,2.5567,2.6682,2.5567,17.38K,2.81%
11/3/2022,2.5556,2.5642,2.5651,2.5134,18.75K,-0.95%
11/2/2022,2.5801,2.5115,2.5876,2.4907,15.54K,3.07%
11/1/2022,2.5032,2.4641,2.5202,2.4593,9.89K,2.61%
10/31/2022,2.4396,2.4683,2.4787,2.3997,10.24K,-4.76%
10/30/2022,2.5615,2.5645,2.5664,2.5552,,3.81%
10/28/2022,2.4675,2.515,2.5151,2.4357,13.17K,-2.19%
10/27/2022,2.5227,2.5092,2.5397,2.4655,15.61K,1.50%
10/26/2022,2.4853,2.4295,2.5037,2.4127,12.83K,1.81%
10/25/2022,2.4411,2.4064,2.4453,2.3654,9.10K,1.56%
10/24/2022,2.4037,2.3848,2.4282,2.3292,7.89K,-2.64%
10/23/2022,2.4689,2.4611,2.4725,2.4609,,3.18%
10/21/2022,2.3927,2.3808,2.4055,2.3482,4.30K,0.85%
10/20/2022,2.3725,2.3782,2.436,2.3682,6.64K,-0.85%
10/19/2022,2.3928,2.3543,2.3998,2.3282,6.94K,2.38%
10/18/2022,2.3372,2.362,2.374,2.2868,8.44K,-0.91%
10/17/2022,2.3587,2.3916,2.4181,2.3495,6.42K,-10.77%
10/16/2022,2.6435,2.6356,2.6439,2.6318,,11.17%
10/14/2022,2.3778,2.4511,2.4511,2.3605,8.12K,-3.12%
10/13/2022,2.4543,2.3888,2.4608,2.3495,6.86K,2.17%
10/12/2022,2.4022,2.38,2.4367,2.359,6.07K,-0.87%
10/11/2022,2.4232,2.4258,2.4324,2.3847,7.39K,-0.79%
